endpoint	archivo	linea	framework
blog/	/home/markmur88/api_bank_h2/config/urls.py	15	Python (Django)
admin/	/home/markmur88/api_bank_h2/config/urls.py	43	Python (Django)
api/auth/	/home/markmur88/api_bank_h2/config/urls.py	45	Python (Django)
swagger<format>/	/home/markmur88/api_bank_h2/config/urls.py	48	Python (Django)
swagger/	/home/markmur88/api_bank_h2/config/urls.py	49	Python (Django)
redoc/	/home/markmur88/api_bank_h2/config/urls.py	50	Python (Django)
app/core/	/home/markmur88/api_bank_h2/config/urls.py	51	Python (Django)
app/gpt4/	/home/markmur88/api_bank_h2/config/urls.py	52	Python (Django)
__debug__/	/home/markmur88/api_bank_h2/config/urls.py	60	Python (Django)
{% static 	/home/markmur88/api_bank_h2/templates/base.html	16	Python (Django)
dashboard/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2401	Python (Django)
transferencia/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2402	Python (Django)
registro/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2403	Python (Django)
logout/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2404	Python (Django)
usuarios/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2405	Python (Django)
usuarios/<int:user_id>/toggle/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2406	Python (Django)
usuarios/<int:user_id>/update_role/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2407	Python (Django)
api/token	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2408	Python (Django)
oidc/token	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2410	Python (Django)
oidc/authorize	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2411	Python (Django)
auth/challenges	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2412	Python (Django)
otp/single	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2413	Python (Django)
payments	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2414	Python (Django)
api/login/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2416	Python (Django)
api/challenges	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2417	Python (Django)
api/transferencias/entrantes/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2418	Python (Django)
api/send-transfer	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2419	Python (Django)
api/status-transfer	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2420	Python (Django)
api/challenge	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2504	Python (Django)
api/challenges	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2504	Python (Django)
dashboard/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2515	Python (Django)
transferencia/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2516	Python (Django)
registro/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2517	Python (Django)
logout/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2518	Python (Django)
usuarios/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2519	Python (Django)
usuarios/<int:user_id>/toggle/	/home/markmur88/api_bank_h2/docs/cursor_revisar_diferencias_entre_archiv.md	2520	Python (Django)
